time	V(vin)	V(vout)
9.114362500149431e-03	6.583020e-03	3.187768e+00
9.143659375149431e-03	7.849643e-03	3.176942e+00
9.163190625149430e-03	8.548995e-03	3.170993e+00
9.182721875149430e-03	9.119761e-03	3.166166e+00
9.202253125149430e-03	9.553358e-03	3.162536e+00
9.221784375149429e-03	9.843263e-03	3.160157e+00
9.241315625149429e-03	9.985116e-03	3.159067e+00
9.260846875149428e-03	9.976785e-03	3.159282e+00
9.280378125149428e-03	9.818393e-03	3.160798e+00
9.299909375149427e-03	9.512323e-03	3.163592e+00
9.319440625149427e-03	9.063180e-03	3.167622e+00
9.338971875149427e-03	8.477717e-03	3.172826e+00
9.358503125149426e-03	7.764741e-03	3.179125e+00
9.387800000149426e-03	6.480135e-03	3.190410e+00
9.417096875149425e-03	4.976572e-03	3.203553e+00
9.446393750149424e-03	3.304856e-03	3.218103e+00
9.475690625149424e-03	1.521471e-03	3.233566e+00
9.486851339435137e-03	8.166451e-04	3.239662e+00
9.498012053720853e-03	1.163450e-04	3.245710e+00
9.509172768006566e-03	-5.794294e-04	3.251711e+00
9.520333482292280e-03	-1.270678e-03	3.257665e+00
9.531494196577993e-03	-1.957401e-03	3.263572e+00
9.542654910863708e-03	-2.639598e-03	3.269431e+00
9.553815625149422e-03	-3.317269e-03	3.275243e+00
9.583112500149421e-03	-4.987979e-03	3.289532e+00
9.612409375149421e-03	-6.490150e-03	3.302324e+00
9.641706250149420e-03	-7.773024e-03	3.313191e+00
9.661237500149420e-03	-8.484687e-03	3.319184e+00
9.680768750149419e-03	-9.068731e-03	3.324070e+00
9.700300000149419e-03	-9.516373e-03	3.327778e+00
9.719831250149418e-03	-9.820880e-03	3.330251e+00
9.739362500149418e-03	-9.977672e-03	3.331455e+00
9.758893750149418e-03	-9.984391e-03	3.331371e+00
9.778425000149417e-03	-9.840935e-03	3.329999e+00
9.797956250149417e-03	-9.549461e-03	3.327362e+00
9.817487500149416e-03	-9.114356e-03	3.323497e+00
9.827253125149416e-03	-8.844904e-03	3.321121e+00
9.846784375149416e-03	-8.207269e-03	3.315526e+00
9.876081250149415e-03	-7.022867e-03	3.305191e+00
9.905378125149415e-03	-5.601168e-03	3.292835e+00
9.934675000149414e-03	-3.990212e-03	3.278870e+00
9.963971875149413e-03	-2.244430e-03	3.263764e+00
9.993268750149413e-03	-4.228108e-04	3.248025e+00
1.000000000000000e-02	-2.449294e-17	3.244374e+00
