Freq.,V(vout3)/(V(vp)-V(vm))
1.34896288259164e+001,(4.00691734549445e+001dB,-1.75520722065230e+002°)
1.38038426460287e+001,(4.00680674786459e+001dB,-1.75638147345892e+002°)
1.41253754462274e+001,(4.00670109331595e+001dB,-1.75753183690684e+002°)
1.44543977074591e+001,(4.00660016314471e+001dB,-1.75865897194097e+002°)
1.47910838816819e+001,(4.00650374823552e+001dB,-1.75976352377297e+002°)
1.51356124843619e+001,(4.00641164852457e+001dB,-1.76084612245203e+002°)
1.54881661891247e+001,(4.00632367278827e+001dB,-1.76190738341352e+002°)
1.58489319246110e+001,(4.00623963811730e+001dB,-1.76294790800491e+002°)
1.62181009735891e+001,(4.00615936967349e+001dB,-1.76396828399077e+002°)
1.65958690743754e+001,(4.00608270030746e+001dB,-1.76496908603829e+002°)
1.69824365246173e+001,(4.00600947021744e+001dB,-1.76595087618374e+002°)
1.73780082874936e+001,(4.00593952661287e+001dB,-1.76691420428203e+002°)
1.77827941003891e+001,(4.00587272352611e+001dB,-1.76785960843848e+002°)
1.81970085860997e+001,(4.00580892136145e+001dB,-1.76878761542633e+002°)
1.86208713666285e+001,(4.00574798675420e+001dB,-1.76969874108848e+002°)
1.90546071796323e+001,(4.00568979218663e+001dB,-1.77059349072493e+002°)
1.94984459975803e+001,(4.00563421592124e+001dB,-1.77147235946795e+002°)
1.99526231496886e+001,(4.00558114147092e+001dB,-1.77233583264423e+002°)
2.04173794466951e+001,(4.00553045759460e+001dB,-1.77318438612440e+002°)
2.08929613085402e+001,(4.00548205803031e+001dB,-1.77401848666273e+002°)
2.13796208950221e+001,(4.00543584125761e+001dB,-1.77483859222505e+002°)
2.18776162394953e+001,(4.00539171022650e+001dB,-1.77564515230698e+002°)
2.23872113856832e+001,(4.00534957229001e+001dB,-1.77643860824310e+002°)
2.29086765276775e+001,(4.00530933892678e+001dB,-1.77721939350584e+002°)
2.34422881531990e+001,(4.00527092548846e+001dB,-1.77798793399656e+002°)
2.39883291901947e+001,(4.00523425124848e+001dB,-1.77874464832967e+002°)
2.45470891568501e+001,(4.00519923906355e+001dB,-1.77948994810655e+002°)
2.51188643150956e+001,(4.00516581520783e+001dB,-1.78022423818447e+002°)
2.57039578276884e+001,(4.00513390941587e+001dB,-1.78094791693695e+002°)
2.63026799189536e+001,(4.00510345440098e+001dB,-1.78166137650896e+002°)
2.69153480392689e+001,(4.00507438602141e+001dB,-1.78236500306484e+002°)
2.75422870333814e+001,(4.00504664305531e+001dB,-1.78305917703099e+002°)
2.81838293126442e+001,(4.00502016699482e+001dB,-1.78374427333280e+002°)
2.88403150312658e+001,(4.00499490202110e+001dB,-1.78442066162618e+002°)
2.95120922666636e+001,(4.00497079486488e+001dB,-1.78508870652436e+002°)
3.01995172040199e+001,(4.00494779465855e+001dB,-1.78574876781978e+002°)
3.09029543251356e+001,(4.00492585284195e+001dB,-1.78640120070171e+002°)
3.16227766016835e+001,(4.00490492315532e+001dB,-1.78704635596935e+002°)
